"","id","FullName","Role","Start_","End_"
"2735",404,"GUS CIANCIOLO","Vice Chairman","2000","2011"
"2736",405,"JOHN HALL","Director Air Force and Community Support","1999","2011"
"2737",406,"JOE LOPEZ","Navy and International Divisions","1999","2011"
"2738",407,"JEFFREY W. OSTER","Marine Corps Programs","1998","2011"
"2739",408,"EVERETT H. PRATT","Air Force Division","1997","2011"
"2741",409,"THOMAS P. CARNEY","Army Division","1995","2011"
"2742",410,"NORMAN W RAY","Navy and International Business Divisions","1995","2011"
"2743",411,"MICHAEL P. C. CARNS","Advisory Board","1994","2011"
"2744",412,"STEPHEN F. LOFTUS","Chairman of the Board","1994","2011"
"2746",413,"ROBERT W. RISCASSI","Advisory Board","1993","2011"
"2747",414,"JAMES B. DAVIS","Air Force and Community Support","1993","2011"
"2748",415,"JOHN B CONAWAY","National Guard and Reserves","1993","2011"
"2752",416,"JERRY R. RUTHERFORD","COO","1995","2011"
"2759",417,"EDMUND GIAMBASTIANI","non-executive director","2007","2011"
"2769",418,"GARY HUGHEY","COO","2005","2011"
"2783",419,"ROBERT J. HIGGINS","Director of Administration","2003","2004"
"2805",420,"ARTHUR CHARLES VALERIAN WELLESLEY","Chairman","1995","2000"
"2807",421,"JOHN G. DROSDICK","Chairman   CEO   President","2000","2008"
"2812",422,"KEVIN MATHEWS","Account Management","1986","1995"
"2815",423,"DUNCAN BAXTER","Managing Director","1988","1998"
"2816",424,"ERWIN BRUNNER","VP Investment Group","1969","1988"
"2849",425,"WILLIAM J DONAHUE","EVP","2000","2011"
"2854",426,"TEDDY G. ALLEN","Chairman","1993","2011"
"2855",427,"JOHN EDWARD MALTBY","President","1994","2000"
"2870",428,"PAUL DAVID MILLER","Board of Advisors","2001","2011"
"2884",429,"MARC A. CISNEROS","president","2005","2011"
"2885",430,"PAUL K CARLTON","Professor","2002","2011"
"2892",431,"JAMES HILLE","CIO","1995","2006"
"2907",432,"LAWSON W. MAGRUDER","Senior Consultant","2001","2011"
"2909",433,"ADRIAN WATERS","Executive positions","1993","2001"
"2917",434,"JOHN W ROSA  JR","President","2005","2011"
"2930",435,"LAURENT ARNOUX","Co-founder","2001","2004"
"2960",436,"FRANKIE D. HUGHES","Trustee","2000","2008"
"2972",437,"SYLVAIN RODITI","Manager","1985","1989"
"2976",438,"BRYAN D. BROWN","Manager","2007","2011"
"2979",439,"MATTHEW COOPER","CEO","1993","2011"
"2988",440,"THOMAS B. FARGO","President","2005","2011"
"2990",441,"JOSEPH BANNISTER","Chairman","1998","1999"
"3000",442,"SVANTE ELFVING","Analyst and portfolio manager","1983","1987"
"3009",443,"ALEXANDRE DARRE","Head of Structured Proudcts.  Director of Marketing.  Senior Credit Derivatives trader","1995","2007"
"3010",444,"MICHEL FEST","Junior precious metals trader and Spot FX trader","1993","1998"
"3013",445,"SERDAR AKTASLI","Legal & Compliance Officer   Asset Management Division","1997","1999"
"3030",446,"MICHAEL BOYCE","Managing Director","1990","1997"
"3031",447,"MARCEL ERNZER","Manager","1987","1996"
"3033",448,"ALEXANDER E. BRUNNER","Brand Manager","2002","2005"
"3040",449,"MICHEL LUSA","Managing Director of private banking in the Middle East   Israel and Africa and Head of the Wealth Management division","1979","1998"
"3065",450,"JAMES L. JONES","National Security Advisor","2009","2011"
"3069",451,"ROBERT T HERRES","CEO","1990","2008"
"3077",452,"THOMAS H. COLLINS","Board of Advisors","2006","2011"
"3103",453,"LEONARD M.  JR. SPALDING","President and CEO","1990","1998"
"3118",454,"JOHN G. COBURN","CEO","2001","2011"
"3137",455,"CARL O'SULLIVAN","In-house lawyer","1987","1990"
"3146",456,"SANDRA ROBERTSON","Co-Head of Portfolio Management","1993","2007"
"3159",457,"OTTO J. GUENTHER","Board of Advisors","1997","2011"
"3161",458,"JAMES DUNN","Managing Director   CIO","2005","2009"
"3163",459,"PATRICK FROST","Head of Fixed Income.  Senior bond portfolio manager.  Analyst","1996","2006"
"3165",460,"RETO KOLLER","President and CIO.  Member of the board","1990","2007"
"3166",461,"RETO KOLLER","VP - Fixed income investments and operations manager","1984","1989"
